Employee ID,StartDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age
3484,8/29/2018,Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,Sales,General - Con,7/18/1995,CO,Male,Other,Single,Fully Meets,4,9/16/2022,1,2,4,6/27/2023,Project Management,External,Passed,1,795.7,23
3485,10/26/2021,Area Sales Manager,MSC,Active,Contract,Zone C,Full-Time,Sales,Field Operations,8/22/1994,CO,Male,White,Widowed,Fully Meets,5,5/7/2023,2,1,3,8/7/2022,Customer Service,Internal,Passed,2,796.45,27
3486,10/31/2022,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Fielders,11/14/1990,IN,Male,Other,Widowed,Fully Meets,4,8/27/2022,3,1,1,7/23/2023,Project Management,Internal,Completed,5,812.59,32
3487,3/15/2023,Area Sales Manager,BPC,Active,Contract,Zone B,Part-Time,Sales,General - Sga,2/1/1994,KY,Female,Other,Divorced,Fully Meets,4,9/23/2022,5,4,1,7/17/2023,Project Management,External,Completed,5,132.97,29
3488,9/9/2022,Area Sales Manager,CCDR,Active,Contract,Zone B,Full-Time,Sales,Wireline Construction,11/12/1997,KY,Female,Asian,Single,Fully Meets,2,3/11/2023,1,5,1,9/20/2022,Communication Skills,Internal,Completed,1,308.19,25
3489,3/4/2022,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,5/2/1953,TX,Female,Black,Divorced,Fully Meets,2,12/3/2022,2,4,5,7/2/2023,Project Management,Internal,Passed,1,131.41,69
3490,2/11/2019,Area Sales Manager,MSC,Active,Part-Time,Zone A,Part-Time,Sales,General - Sga,7/10/1991,TX,Female,Hispanic,Divorced,Fully Meets,2,10/12/2022,5,3,2,7/19/2023,Technical Skills,Internal,Failed,3,389.59,28
3491,1/26/2021,Area Sales Manager,NEL,Active,Contract,Zone B,Full-Time,Sales,Field Operations,6/2/1973,TX,Male,White,Widowed,Fully Meets,5,9/10/2022,3,4,5,7/14/2023,Project Management,Internal,Incomplete,3,442.56,48
3492,11/26/2019,Area Sales Manager,PL,Active,Full-Time,Zone C,Full-Time,Sales,General - Con,1/8/1993,CO,Male,Asian,Married,Fully Meets,1,1/13/2023,1,5,5,9/6/2022,Project Management,Internal,Incomplete,3,327.66,26
3493,7/15/2019,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,4/17/1984,CO,Male,Asian,Widowed,Fully Meets,5,4/2/2023,3,1,5,2/19/2023,Project Management,Internal,Completed,3,400.95,35
3494,6/18/2020,Area Sales Manager,SVG,Active,Contract,Zone B,Full-Time,Sales,General - Con,2/8/1994,CO,Male,Black,Single,Fully Meets,4,12/15/2022,1,2,1,2/11/2023,Technical Skills,Internal,Completed,2,910.45,26
3495,6/22/2023,Area Sales Manager,TNS,Active,Part-Time,Zone B,Temporary,Sales,Wireline Construction,1/27/1993,IN,Male,Other,Married,Fully Meets,4,9/8/2022,4,3,5,12/21/2022,Customer Service,External,Passed,1,701.55,30
3496,12/2/2021,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,General - Sga,9/19/1964,CA,Male,Other,Widowed,Fully Meets,5,12/26/2022,1,3,2,2/16/2023,Project Management,Internal,Incomplete,1,806.87,57
3497,12/8/2021,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Project Management - Con,2/18/1981,OR,Female,Hispanic,Widowed,Fully Meets,1,9/18/2022,2,3,4,3/11/2023,Communication Skills,Internal,Completed,2,184.21,40
3498,4/26/2023,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,Sales,General - Sga,10/17/1998,KY,Female,White,Widowed,Fully Meets,2,6/19/2023,3,3,4,5/30/2023,Project Management,External,Failed,1,208.43,25
3499,9/25/2018,Area Sales Manager,WBL,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,1/16/1971,KY,Female,Asian,Widowed,Fully Meets,5,7/21/2023,5,3,5,1/30/2023,Technical Skills,Internal,Incomplete,2,762.45,47
3500,11/20/2018,Area Sales Manager,NEL,Active,Full-Time,Zone B,Part-Time,Sales,Shop (Fleet),2/25/2000,TX,Female,White,Divorced,Fully Meets,1,5/14/2023,4,1,4,6/15/2023,Leadership Development,External,Incomplete,4,779.79,18
3502,10/1/2019,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Sales,Splicing,6/29/1976,TX,Male,White,Married,Fully Meets,1,4/24/2023,5,3,5,1/3/2023,Customer Service,External,Incomplete,3,427.12,43
3503,1/20/2022,Area Sales Manager,CCDR,Active,Part-Time,Zone A,Temporary,Sales,Project Management - Con,7/27/1951,CO,Male,Other,Single,Fully Meets,4,1/28/2023,5,2,3,2/20/2023,Technical Skills,Internal,Completed,4,996.35,71
3504,10/10/2021,Area Sales Manager,SVG,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,8/23/1980,CO,Male,Hispanic,Married,Fully Meets,2,4/20/2023,3,4,3,6/2/2023,Communication Skills,Internal,Completed,5,963.23,41
3505,8/29/2020,Area Sales Manager,EW,Active,Contract,Zone B,Temporary,Sales,Field Operations,7/24/1943,IN,Male,Hispanic,Widowed,Fully Meets,1,11/10/2022,4,3,2,9/13/2022,Leadership Development,Internal,Failed,5,260.97,77
3506,8/27/2019,Area Sales Manager,MSC,Active,Full-Time,Zone B,Temporary,Sales,Field Operations,7/6/1988,IN,Male,Other,Married,Fully Meets,2,6/27/2023,2,2,3,5/21/2023,Leadership Development,Internal,Completed,1,781.81,31
3507,2/25/2021,Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Project Management - Con,3/24/1973,CA,Male,White,Single,Fully Meets,4,3/31/2023,2,5,2,5/25/2023,Project Management,Internal,Passed,4,651.77,48
3508,7/13/2021,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Aerial,5/26/1942,OR,Male,Asian,Single,Fully Meets,5,4/17/2023,1,5,4,4/4/2023,Communication Skills,External,Completed,1,568.22,79
3509,4/14/2021,Area Sales Manager,BPC,Active,Part-Time,Zone C,Full-Time,Sales,General - Sga,11/4/1977,KY,Female,Black,Married,Fully Meets,2,12/3/2022,4,5,2,3/4/2023,Leadership Development,External,Completed,4,612.1,44
3510,2/10/2020,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,10/17/1956,KY,Female,Hispanic,Married,Fully Meets,2,8/22/2022,2,4,3,10/27/2022,Technical Skills,External,Completed,4,473.23,64
3511,8/17/2021,Area Sales Manager,WBL,Active,Part-Time,Zone B,Full-Time,Sales,Finance & Accounting,2/18/1997,KY,Female,Asian,Divorced,Fully Meets,4,5/11/2023,5,4,5,4/7/2023,Technical Skills,Internal,Completed,3,344.44,24
3514,4/15/2020,Area Sales Manager,BPC,Active,Full-Time,Zone B,Part-Time,Sales,Wireline Construction,1/3/1958,TX,Male,Asian,Married,Fully Meets,1,8/25/2022,2,1,1,2/21/2023,Leadership Development,Internal,Incomplete,3,975.46,62
3516,4/7/2022,Area Sales Manager,SVG,Active,Contract,Zone B,Part-Time,Sales,Project Management - Con,6/25/1988,CO,Male,Asian,Divorced,Fully Meets,5,11/15/2022,2,3,5,6/22/2023,Technical Skills,Internal,Incomplete,1,570.42,34
3517,2/19/2020,Area Sales Manager,EW,Active,Part-Time,Zone A,Part-Time,Sales,Splicing,1/4/1942,IN,Male,Hispanic,Widowed,Fully Meets,4,1/1/2023,4,1,1,9/17/2022,Technical Skills,Internal,Failed,3,391.31,78
3518,4/10/2021,Area Sales Manager,MSC,Active,Contract,Zone B,Part-Time,Sales,General - Eng,5/24/1969,CA,Female,Hispanic,Married,Fully Meets,2,5/13/2023,4,2,5,6/27/2023,Customer Service,Internal,Completed,3,826.58,52
3519,12/19/2021,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Aerial,3/28/1951,CA,Male,Hispanic,Widowed,Fully Meets,2,6/10/2023,1,3,4,12/11/2022,Leadership Development,External,Incomplete,4,930.69,70
3520,12/13/2020,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Con,3/1/1963,ND,Female,Black,Divorced,Fully Meets,1,9/17/2022,5,1,1,9/11/2022,Customer Service,External,Incomplete,1,607.93,57
3521,2/26/2019,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,General - Con,4/16/1949,KY,Female,Asian,Divorced,Fully Meets,4,9/19/2022,1,3,3,2/28/2023,Communication Skills,Internal,Incomplete,5,723.5,70
3522,3/2/2020,Area Sales Manager,BPC,Active,Full-Time,Zone C,Part-Time,Sales,Splicing,10/12/1983,KY,Female,Other,Single,Fully Meets,1,7/14/2023,1,5,4,5/5/2023,Communication Skills,External,Completed,5,394.04,37
3523,6/25/2021,Area Sales Manager,CCDR,Active,Full-Time,Zone A,Temporary,Sales,General - Con,12/19/1978,KY,Female,Other,Single,Fully Meets,2,2/27/2023,3,2,3,7/10/2023,Leadership Development,External,Incomplete,2,451.18,43
3526,9/15/2022,Area Sales Manager,NEL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,5/30/1948,TX,Male,White,Widowed,Fully Meets,4,1/28/2023,1,5,3,10/15/2022,Customer Service,Internal,Passed,2,360.5,74
3527,5/1/2020,Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Aerial,10/15/1974,CO,Male,Black,Married,Fully Meets,1,2/27/2023,1,3,2,1/6/2023,Project Management,Internal,Failed,4,396.28,46
3528,10/13/2022,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Part-Time,Sales,Finance & Accounting,12/13/1991,CO,Male,Hispanic,Widowed,Fully Meets,2,5/27/2023,5,2,2,3/2/2023,Technical Skills,External,Passed,1,465.96,31
3529,1/3/2020,Area Sales Manager,SVG,Active,Part-Time,Zone C,Full-Time,Sales,Field Operations,6/18/1994,IN,Male,Hispanic,Single,Fully Meets,2,7/15/2023,2,3,4,9/4/2022,Project Management,Internal,Incomplete,1,515.56,26
3530,11/13/2019,Area Sales Manager,TNS,Active,Full-Time,Zone B,Part-Time,Sales,Field Operations,6/16/1993,CA,Female,Black,Widowed,Fully Meets,2,11/27/2022,1,2,5,1/18/2023,Customer Service,External,Passed,2,496.85,26
3531,6/17/2023,Area Sales Manager,WBL,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,5/18/1943,CA,Male,Black,Divorced,Fully Meets,1,2/24/2023,2,4,4,11/30/2022,Leadership Development,External,Completed,3,629.46,80
3532,10/14/2021,Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,IT/IS,Wireless,11/27/1966,OR,Female,Black,Widowed,Fully Meets,1,10/8/2022,2,2,5,5/2/2023,Technical Skills,Internal,Failed,2,771.61,55
3533,6/1/2021,Area Sales Manager,MSC,Active,Contract,Zone B,Full-Time,Sales,General - Sga,11/12/1966,ND,Male,White,Married,Fully Meets,2,1/8/2023,2,5,2,5/11/2023,Leadership Development,Internal,Completed,4,418.4,55
3534,9/14/2018,Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Engineers,8/16/1959,KY,Female,Asian,Single,Fully Meets,4,4/14/2023,4,3,2,5/21/2023,Customer Service,Internal,Completed,3,900.96,59
3535,12/11/2018,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Temporary,Sales,Fielders,2/2/1994,KY,Female,Black,Single,Fully Meets,4,11/1/2022,1,5,1,6/25/2023,Technical Skills,External,Incomplete,1,936.96,24
3536,8/6/2022,Area Sales Manager,WBL,Active,Contract,Zone C,Temporary,Sales,General - Sga,1/2/1989,GA,Female,Black,Single,Fully Meets,2,10/9/2022,1,2,4,11/23/2022,Leadership Development,External,Passed,5,269.03,33
3539,12/8/2019,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,11/27/1983,CO,Male,Hispanic,Single,Fully Meets,5,2/6/2023,3,3,4,3/17/2023,Project Management,External,Failed,4,234.77,36
3540,3/12/2020,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Splicing,6/9/1983,CO,Male,White,Widowed,Exceeds,4,6/25/2023,2,2,3,10/26/2022,Communication Skills,External,Incomplete,2,903.46,37
3541,4/6/2020,Area Sales Manager,SVG,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,10/27/1991,IN,Male,Black,Married,Exceeds,2,11/28/2022,1,3,3,5/22/2023,Customer Service,External,Passed,4,380.3,29
3542,4/15/2023,Area Sales Manager,EW,Active,Contract,Zone A,Temporary,Sales,Field Operations,3/1/1948,IN,Male,White,Married,Needs Improvement,1,10/18/2022,2,3,4,8/22/2022,Project Management,Internal,Failed,4,511.42,75
3543,11/10/2020,Area Sales Manager,MSC,Active,Part-Time,Zone A,Temporary,Sales,General - Con,2/18/1981,CA,Female,Black,Single,Fully Meets,2,2/11/2023,4,5,5,5/21/2023,Communication Skills,External,Passed,4,171.03,39
3544,6/29/2023,Area Sales Manager,TNS,Active,Contract,Zone A,Temporary,Sales,Aerial,9/16/2000,CA,Male,Asian,Single,Fully Meets,2,9/14/2022,3,5,3,5/2/2023,Leadership Development,External,Passed,3,842.93,23
3545,3/7/2022,Area Sales Manager,EW,Active,Full-Time,Zone C,Temporary,IT/IS,Field Operations,1/28/1943,OR,Female,Black,Widowed,Fully Meets,1,5/27/2023,2,5,2,5/4/2023,Customer Service,External,Incomplete,5,581.12,79
3546,7/31/2021,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,7/14/1980,ND,Male,Hispanic,Widowed,Exceeds,1,5/10/2023,2,5,5,11/21/2022,Project Management,External,Passed,4,426.45,41
3547,1/20/2022,Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Sales,Project Management - Eng,3/25/1947,KY,Female,Other,Married,Needs Improvement,2,12/24/2022,2,4,2,4/24/2023,Technical Skills,External,Failed,4,805.05,75
3548,7/11/2021,Area Sales Manager,WBL,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,1/25/1964,KY,Female,White,Single,Fully Meets,1,10/6/2022,5,5,3,8/16/2022,Leadership Development,External,Passed,3,368.8,57
3549,10/15/2018,Area Sales Manager,TNS,Active,Full-Time,Zone C,Full-Time,Sales,Field Operations,3/17/1955,GA,Female,Black,Divorced,Fully Meets,2,4/19/2023,1,4,1,11/2/2022,Communication Skills,External,Failed,5,788.67,63
3551,8/11/2018,Area Sales Manager,PYZ,Active,Part-Time,Zone C,Part-Time,Sales,Engineers,7/4/1954,TX,Male,Black,Married,Needs Improvement,4,6/3/2023,4,4,3,10/27/2022,Communication Skills,External,Incomplete,1,570.13,64
3552,2/16/2020,Area Sales Manager,PL,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,8/11/1942,CO,Male,White,Single,Needs Improvement,1,10/14/2022,3,4,2,11/26/2022,Leadership Development,External,Failed,4,480.87,78
3553,1/20/2020,Area Sales Manager,NEL,Active,Contract,Zone C,Temporary,Sales,Field Operations,5/7/1949,CO,Male,Black,Divorced,Fully Meets,4,10/30/2022,4,2,4,12/11/2022,Project Management,Internal,Incomplete,5,689.48,71
3554,3/31/2019,Area Sales Manager,MSC,Active,Part-Time,Zone C,Temporary,Sales,People Services,10/14/1958,IN,Male,Asian,Widowed,Fully Meets,1,6/7/2023,2,1,2,6/5/2023,Project Management,Internal,Completed,4,283.33,61
3555,1/6/2023,Area Sales Manager,EW,Active,Full-Time,Zone C,Temporary,Sales,General - Eng,1/11/1988,IN,Female,Hispanic,Widowed,Fully Meets,4,1/13/2023,2,5,1,3/4/2023,Leadership Development,External,Passed,4,566.12,35
3556,7/18/2019,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Temporary,Sales,Wireline Construction,6/16/1961,CA,Male,White,Single,Exceeds,2,6/11/2023,2,2,3,2/11/2023,Customer Service,Internal,Incomplete,1,513.92,58
